UltraAI System Components Analysis,,,,,,,
Based on backend directory audit and operational requirements,,,,,,,
Phase,Constant ,Needed From,,Provided to,,Via ,
,,User,LLMs,User,LLMs,Script,Dependencies 
,,,,,,,
Pre Production,Security ,JWT tokens/API keys,Model API keys,Authentication status,Secure model access,backend/middleware/auth_middleware.py,fastapi-jwt bcrypt
,Database,User credentials,Model configs,User profiles,Model preferences,backend/database/models/user.py,sqlalchemy alembic
,Resource MGMT,Deployment configs,Model quotas,Service status,Rate limits,backend/config*.py,uvicorn gunicorn
,Testing/Monitoring,Test requests,Health pings,System status,Model availability,backend/routes/health_routes.py,pytest prometheus
,Experience,Login/signup,N/A,Dashboard access,N/A,frontend/ (React),react vite
,,,,,,,
Green Room,Security ,Document uploads,N/A,File validation,N/A,backend/middleware/validation_middleware.py,python-multipart
,Database,Files/metadata,N/A,Storage confirmation,N/A,backend/services/document_service.py,sqlalchemy
,Resource MGMT,File size limits,N/A,Upload progress,N/A,backend/utils/validation.py,fastapi-uploads
,Testing/Monitoring ,Upload tests,N/A,Success/failure,N/A,backend/tests/test_document_upload.py,pytest
,Experience,Drag/drop interface,N/A,Upload feedback,N/A,frontend/src/components,react-dropzone
,,,,,,,
Input ,Security ,Sanitized prompts,N/A,Clean input,N/A,backend/utils/validation.py,pydantic
,Database,User requests,N/A,Request history,N/A,backend/database/models/analysis.py,sqlalchemy
,Resource MGMT,Request queuing,N/A,Processing status,N/A,backend/resilience/queue.py,celery redis
,Testing/Monitoring,Input validation,N/A,Error handling,N/A,backend/tests/test_analyze_endpoint.py,pytest
,Experience ,Text input forms,N/A,Real-time feedback,N/A,frontend/src/components,react-forms
,,,,,,,
Compute ,Security ,Auth tokens,API credentials,Encrypted requests,Secure responses,backend/integrations/pattern_orchestrator.py,httpx cryptography
,Database,Analysis configs,Model responses,Processing logs,Response cache,backend/database/models/analysis.py,sqlalchemy redis
,Resource MGMT,Model selection,LLM capacity,Orchestration results,Multi-model responses,backend/routes/orchestrator_routes.py,openai anthropic google
,Testing/Monitoring,E2E tests,Model health,Performance metrics,Quality scores,backend/tests/test_e2e_analysis_flow.py,pytest prometheus
,Experience,Progress indicators,N/A,Real-time updates,N/A,frontend/src/orchestrator,react-websockets
,,,,,,,
Output ,Security ,Result validation,N/A,Sanitized output,N/A,backend/utils/validation.py,bleach
,Database,Formatted results,Response storage,Result history,Cached responses,backend/database/models/analysis.py,sqlalchemy
,Resource MGMT,Result processing,N/A,Delivery optimization,N/A,backend/services/analysis_service.py,fastapi-streaming
,Testing/Monitoring,Output validation,N/A,Quality assurance,N/A,backend/tests/test_analysis_config_validation.py,pytest
,Experience,Rich displays,N/A,Interactive results,N/A,frontend/src/results,react-markdown
